labels,source,path
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_46.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_5.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_51.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_52.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_53.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_54.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_55.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_57.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_59.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_60.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_61.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_62.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_63.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_64.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_65.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_67.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_68.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_7.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_70.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_72.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_73.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_74.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_76.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_77.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_79.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_8.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_80.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_81.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_82.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_83.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_85.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_86.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_87.wav
happy,ANAD,Arabic Natural Audio Dataset/Speech/V8_9.wav
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P001S01T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P001S11T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P106S02T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P106S12T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P108S07T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P009S09T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P103S13T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P103S03T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P110S10T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P004S10T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P109S11T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P109S01T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P104S08T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P010S08T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P107S04T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P107S14T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P102S15T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P102S05T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P101S09T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P005S16T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P005S06T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P009S10T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P007S05T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P007S15T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P110S09T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P004S09T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P105S07T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P001S08T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P002S14T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P002S04T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P006S03T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P006S13T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P101S10T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P008S16T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P008S06T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P109S08T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P104S11T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P104S01T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P003S12T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P010S01T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P003S02T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P010S11T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P110S08T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P007S14T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P007S04T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P004S08T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P009S01T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P009S11T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P001S09T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P105S06T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P105S16T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P002S05T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P002S15T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P008S07T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P006S12T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P006S02T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P101S11T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P101S01T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P104S10T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P010S10T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P003S03T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P003S13T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P109S09T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P108S06T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P108S16T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P001S10T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P106S13T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P106S03T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P110S11T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P103S02T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P110S01T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P103S12T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P004S01T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P004S11T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P009S08T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P104S09T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P107S15T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P107S05T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P010S09T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P109S10T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P102S04T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P102S14T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P005S07T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P101S08T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P002S07T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P106S08T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P105S14T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P105S04T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P007S06T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P007S16T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P103S09T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P009S13T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P009S03T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P010S02T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P003S11T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P010S12T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P003S01T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P104S12T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P104S02T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P008S15T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P008S05T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P101S03T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P101S13T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P006S10T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P004S13T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P004S03T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P110S03T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P103S10T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P110S13T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P108S14T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P108S04T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P106S01T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P106S11T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P001S02T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P001S12T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P005S15T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P005S05T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P006S09T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P102S16T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P102S06T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P003S08T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P107S07T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P109S12T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P109S02T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P004S02T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P004S12T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P103S01T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P110S12T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P103S11T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P110S02T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P106S10T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P001S13T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P001S03T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P108S05T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P108S15T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P005S04T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P005S14T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P102S07T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P006S08T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P109S03T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P109S13T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P107S16T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P107S06T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P003S09T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P106S09T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P002S06T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P002S16T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P105S05T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P105S15T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P009S02T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P009S12T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P103S08T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P007S07T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P010S13T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P003S10T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P010S03T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P104S03T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P104S13T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P101S12T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P101S02T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P006S11T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P006S01T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P008S04T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P008S14T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P104S16T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P104S06T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P003S15T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P010S06T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P003S05T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P010S16T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P006S04T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P006S14T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P005S08T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P101S07T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P008S11T01.flac
surprise,KSUEmotions,ksu_emotions/data/SPEECH/Phase_1/E03/D05E03P008S01T01.flac
